Week,Measure,Value
2017-11-19,Bird Seed,11
2017-11-26,Bird Seed,11
2017-12-03,Bird Seed,9
2017-12-10,Bird Seed,14
2017-12-17,Bird Seed,11
2017-12-24,Bird Seed,10
2017-12-31,Bird Seed,12
2018-01-07,Bird Seed,9
2018-01-14,Bird Seed,9
2018-01-21,Bird Seed,10
2018-01-28,Bird Seed,11
2018-02-04,Bird Seed,11
2018-02-11,Bird Seed,10
2018-02-18,Bird Seed,10
2018-02-25,Bird Seed,14
2018-03-04,Bird Seed,9
2018-03-11,Bird Seed,7
2018-03-18,Bird Seed,10
2018-03-25,Bird Seed,12
2018-04-01,Bird Seed,14
2018-04-08,Bird Seed,10
2018-04-15,Bird Seed,12
2018-04-22,Bird Seed,9
2018-04-29,Bird Seed,12
2018-05-06,Bird Seed,12
2018-05-13,Bird Seed,11
2018-05-20,Bird Seed,12
2018-05-27,Bird Seed,13
2018-06-03,Bird Seed,11
2018-06-10,Bird Seed,12
2018-06-17,Bird Seed,10
2018-06-24,Bird Seed,9
2018-07-01,Bird Seed,9
2018-07-08,Bird Seed,13
2018-07-15,Bird Seed,13
2018-07-22,Bird Seed,10
2018-07-29,Bird Seed,11
2018-08-05,Bird Seed,10
2018-08-12,Bird Seed,12
2018-08-19,Bird Seed,6
2018-08-26,Bird Seed,8
2018-09-02,Bird Seed,9
2018-09-09,Bird Seed,8
2018-09-16,Bird Seed,8
2018-09-23,Bird Seed,6
2018-09-30,Bird Seed,7
2018-10-07,Bird Seed,8
2018-10-14,Bird Seed,8
2018-10-21,Bird Seed,8
2018-10-28,Bird Seed,11
2018-11-04,Bird Seed,10
2018-11-11,Bird Seed,11
2018-11-18,Bird Seed,12
2018-11-25,Bird Seed,10
2018-12-02,Bird Seed,11
2018-12-09,Bird Seed,15
2018-12-16,Bird Seed,12
2018-12-23,Bird Seed,11
2018-12-30,Bird Seed,9
2019-01-06,Bird Seed,10
2019-01-13,Bird Seed,9
2019-01-20,Bird Seed,13
2019-01-27,Bird Seed,12
2019-02-03,Bird Seed,13
2019-02-10,Bird Seed,12
2019-02-17,Bird Seed,9
2019-02-24,Bird Seed,10
2019-03-03,Bird Seed,13
2019-03-10,Bird Seed,13
2019-03-17,Bird Seed,12
2019-03-24,Bird Seed,13
2019-03-31,Bird Seed,14
2019-04-07,Bird Seed,15
2019-04-14,Bird Seed,12
2019-04-21,Bird Seed,17
2019-04-28,Bird Seed,15
2019-05-05,Bird Seed,16
2019-05-12,Bird Seed,14
2019-05-19,Bird Seed,16
2019-05-26,Bird Seed,15
2019-06-02,Bird Seed,15
2019-06-09,Bird Seed,13
2019-06-16,Bird Seed,13
2019-06-23,Bird Seed,13
2019-06-30,Bird Seed,12
2019-07-07,Bird Seed,13
2019-07-14,Bird Seed,12
2019-07-21,Bird Seed,11
2019-07-28,Bird Seed,12
2019-08-04,Bird Seed,9
2019-08-11,Bird Seed,10
2019-08-18,Bird Seed,9
2019-08-25,Bird Seed,13
2019-09-01,Bird Seed,11
2019-09-08,Bird Seed,12
2019-09-15,Bird Seed,8
2019-09-22,Bird Seed,10
2019-09-29,Bird Seed,11
2019-10-06,Bird Seed,10
2019-10-13,Bird Seed,10
2019-10-20,Bird Seed,10
2019-10-27,Bird Seed,9
2019-11-03,Bird Seed,11
