iso,country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
hun,Hungary,0.607,0.232,0.154,0.173,0.117,0.041,0.212,0.315,0.463,0.531,2.082,8.415,9.303,11.29,10.118,10.17,9.89,8.73,7.8,7.0,6.433,5.74,5.843,5.901,6.122,6.8,7.075,7.0,7.468,9.681,10.801,10.655,10.668,9.849,7.511,6.626,4.971,4.041,3.596,3.309,4.115,4.071,3.408,3.848,3.563,3.372,3.228,3.132
idn,Indonesia,,,,,1.62,2.22,2.75,2.64,2.89,2.86,2.59,2.67,2.79,2.83,4.47,7.42,4.998,4.77,5.46,6.36,6.08,8.1,9.06,9.67,9.86,11.24,10.28,9.11,8.39,7.87,7.14,6.56,6.14,6.25,5.94,6.18,5.61,5.5,5.24,5.18,7.07,6.49,5.5,5.3,5.2,5.1,5.1,5.1
irl,Ireland,,,,,,17.7,18.1,18.8,18.4,17.9,17.2,19.0,16.3,16.7,15.1,14.1,11.8,9.858,7.55,5.908,4.392,4.183,4.725,4.85,4.75,4.633,4.775,5.0,6.808,12.642,14.592,15.4,15.492,13.767,11.9,9.917,8.383,6.75,5.783,4.983,5.842,6.25,4.73,4.801,4.801,4.849,4.774,4.801
irn,Islamic Republic of Iran,,,,,,,,,,,14.2,10.0,10.0,10.0,10.0,10.0,9.085,11.897,13.569,15.777,16.046,16.626,12.2,11.3,12.3,11.5,11.3,10.5,10.4,11.9,13.5,12.3,12.1,10.4,10.6,11.0,12.425,12.075,12.125,10.65,9.6,9.175,9.381,9.645,9.908,9.953,9.998,9.998
isl,Iceland,0.313,0.365,0.67,1.022,1.254,0.906,0.656,0.441,0.636,1.658,2.594,2.925,4.665,5.764,5.776,5.25,4.153,4.204,3.314,2.489,2.633,2.791,3.515,3.525,3.417,2.883,3.2,2.492,3.325,8.008,8.317,7.7,6.617,5.833,5.417,4.5,3.342,3.283,3.1,3.925,6.433,6.017,4.0,4.0,4.0,4.0,4.0,4.0
isr,Israel,4.78,5.115,5.048,4.562,5.893,6.693,7.078,6.057,6.428,8.881,9.567,10.585,11.155,10.015,7.828,6.863,8.325,9.525,10.675,11.075,10.9,11.625,12.875,13.4,12.9,11.2,10.45,9.15,7.65,9.425,8.25,7.05,6.867,6.208,5.875,5.242,4.825,4.225,3.975,3.817,4.3,4.95,3.9,3.8,3.7,3.7,3.7,3.7
ita,Italy,7.37,7.649,8.288,7.367,7.833,8.167,8.867,9.617,9.683,9.667,8.858,8.533,8.808,9.833,10.633,11.15,11.15,11.242,11.333,10.942,10.1,9.1,8.608,8.45,8.025,7.75,6.867,6.208,6.8,7.867,8.483,8.6,10.9,12.358,12.775,12.025,11.708,11.308,10.625,9.892,9.342,9.517,8.8,9.4,9.32,9.2,9.1,9.0
jam,Jamaica,27.262,25.941,27.577,26.378,25.512,25.01,23.654,20.968,19.089,15.2,15.7,15.4,15.7,16.3,15.4,16.2,16.0,16.5,15.5,15.7,15.5,15.0,14.2,11.8,12.2,11.225,10.325,9.85,10.575,11.35,12.375,12.4,13.925,15.275,13.75,13.5,13.2,11.65,9.125,7.7,10.2,8.375,,,,,,
jor,Jordan,,,,,5.361,5.976,8.037,8.391,8.805,10.282,16.8,18.8,17.6,19.6,15.8,15.4,13.1,14.4,13.5,14.38,13.706,14.691,15.325,14.439,14.7,14.844,14.058,12.7,12.65,12.85,12.475,12.875,12.15,12.6,11.875,13.075,15.275,18.3,18.6,19.075,22.7,24.425,,,,,,
jpn,Japan,2.017,2.208,2.35,2.658,2.708,2.625,2.767,2.85,2.517,2.25,2.1,2.092,2.15,2.5,2.892,3.15,3.367,3.4,4.1,4.667,4.733,5.042,5.358,5.242,4.733,4.425,4.117,3.833,3.983,5.075,5.058,4.583,4.325,4.008,3.583,3.375,3.108,2.825,2.442,2.358,2.783,2.817,2.55,2.4,2.4,2.4,2.4,2.4
kaz,Kazakhstan,,,,,,,,,,,,,,,7.536,10.983,12.959,13.008,13.116,13.465,12.753,10.433,9.318,8.754,8.38,8.088,7.788,7.257,6.627,6.554,5.762,5.388,5.283,5.192,5.136,5.037,4.93,4.872,4.828,4.793,4.925,4.9,4.9,4.8,4.8,4.8,4.8,4.8
kgz,Kyrgyz Republic,,,,,,,,,,,,,,,4.114,5.742,7.815,5.747,5.874,7.196,7.544,7.839,12.55,9.903,8.53,8.117,8.267,8.153,8.219,8.417,8.644,8.53,8.427,8.332,8.046,7.554,7.211,6.891,6.922,6.922,8.656,9.014,9.014,9.014,9.014,9.014,9.014,9.014
kor,Korea,5.2,4.5,4.133,4.117,3.85,4.025,3.842,3.108,2.525,2.583,2.458,2.45,2.525,2.9,2.475,2.067,2.058,2.617,6.95,6.583,4.425,4.0,3.258,3.55,3.658,3.75,3.475,3.258,3.175,3.633,3.708,3.408,3.225,3.1,3.492,3.592,3.675,3.683,3.833,3.783,3.942,3.675,3.0,3.4,3.338,3.433,3.596,3.599
kwt,Kuwait,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.842,7.183,1.5,1.8,0.699,0.711,0.791,0.777,1.097,1.305,1.221,1.42,1.349,1.37,1.701,1.671,1.639,2.072,2.078,1.986,1.902,1.722,1.322,1.248,1.28,1.087,1.183,1.276,1.276,,,,,,
lka,Sri Lanka,,,,,,,,,,,15.897,14.665,14.566,13.777,13.127,12.267,11.294,10.501,9.174,8.857,7.573,7.9,8.8,8.4,8.3,7.7,6.6,6.2,6.0,5.9,5.0,4.1,4.0,4.4,4.3,4.7,4.4,4.2,4.4,4.8,5.5,5.1,5.25,5.0,4.75,4.4,4.4,4.4
ltu,Lithuania,,,,,,,,,,,,,,,,,,,,14.6,16.375,17.362,13.737,12.441,10.884,8.324,5.778,4.248,5.827,13.787,17.814,15.39,13.366,11.77,10.699,9.119,7.861,7.073,6.146,6.254,8.488,7.116,7.25,7.0,6.5,6.2,6.0,6.0
lux,Luxembourg,0.723,1.015,1.33,1.615,1.748,1.667,1.458,1.669,1.536,1.402,1.256,1.38,1.634,2.105,2.732,2.961,3.241,3.302,3.057,2.89,2.4,2.217,2.5,3.292,3.692,4.083,4.233,4.183,4.142,5.483,5.817,5.667,6.099,6.83,7.092,6.648,6.263,5.844,5.099,5.402,6.354,5.72,4.997,4.989,4.999,5.011,4.987,4.965
lva,Latvia,,,,,,,,,,,,,3.178,6.951,6.951,6.951,20.711,15.167,13.958,14.067,14.342,13.475,12.492,11.65,11.742,10.042,7.033,6.075,7.75,17.55,19.475,16.208,15.048,11.868,10.847,9.875,9.642,8.715,7.415,6.311,8.099,7.557,7.417,7.183,7.061,6.866,6.667,6.465
mac,Macao SAR,,,,,,,,,,,,,,,,,,,,,,6.375,6.275,6.05,4.875,4.15,3.775,3.05,3.025,3.55,2.825,2.575,2.0,1.85,1.7,1.825,1.9,1.975,1.8,1.725,2.55,2.95,3.0,2.65,2.5,2.3,2.1,1.88
mar,Morocco,,,,,,,,,,,,,,,,16.0,15.5,15.4,15.2,14.036,13.452,12.331,11.443,11.51,10.734,11.021,10.9,9.7,9.5,9.0,9.2,8.5,8.7,9.5,9.7,9.2,9.0,10.6,9.4,10.2,12.2,11.9,11.108,10.651,10.217,9.772,9.298,9.205
mda,Moldova,,,,,,,,,,,,,,2.899,15.0,14.4,13.0,12.0,9.232,11.118,8.5,7.3,6.8,7.9,8.1,7.3,7.4,5.1,4.0,6.4,7.4,6.7,5.6,5.1,3.9,5.025,4.225,4.125,3.05,5.125,3.825,3.458,3.5,3.5,3.5,3.5,3.5,3.5
mex,Mexico,1.2,0.9,4.2,6.1,5.6,4.4,4.3,3.883,3.542,2.925,2.742,2.692,2.83,3.43,3.7,6.23,5.45,3.73,3.16,2.5,2.2,2.768,2.978,3.4,3.919,3.478,3.528,3.61,3.887,5.329,5.273,5.172,4.89,4.903,4.824,4.348,3.883,3.423,3.323,3.492,4.412,4.142,3.431,3.677,3.739,3.82,3.789,3.791
